Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
632cda8b870610c0d5cd6667,5f04a092b712400db27ef0f3,APPROVED,2022-09-22T21:58:50.458000Z,2022-09-22T22:03:34.723000Z,2022-10-13T00:00:36.112000Z,2022-09-22T22:03:35.053871Z,285.0,175F631D,259,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Entrepreneurship, Literature, Psychology",none just my native langauge,23,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
632cdaa7996027243f41554a,6105ba07b4fa0867eaed2f5b,APPROVED,2022-09-22T21:59:08.111000Z,2022-09-22T22:05:17.020000Z,2022-10-13T00:00:36.228000Z,2022-09-22T22:05:17.400734Z,369.0,175F631D,427,7.0,96.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours",Music,none just my native langauge,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cdaca422fe3daef672b91,62b3879e9853923580fbbe2e,APPROVED,2022-09-22T21:59:50.185000Z,2022-09-22T22:11:46.020000Z,2022-10-13T00:00:36.334000Z,2022-09-22T22:11:46.414406Z,716.0,175F631D,70,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours","Music, Health & Fitness, Travelling",none just my native langauge,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdad64a2f5c39068ad23e,59466291d504750001dce1e8,APPROVED,2022-09-22T21:59:59.436000Z,2022-09-22T22:08:26.740000Z,2022-10-13T00:00:36.467000Z,2022-09-22T22:08:27.102145Z,508.0,175F631D,614,3.0,100.0,Woman (including Trans Female/Trans Woman),English,Technical/community college,No,"No, I have no issues seeing colours","Music, Art, Health & Fitness",none just my native langauge,59,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdaeadadfbe865d7df40c,62e15446a40bb28d7c84c301,APPROVED,2022-09-22T22:00:11.955000Z,2022-09-22T22:02:28.214000Z,2022-10-13T00:00:36.613000Z,2022-09-22T22:02:28.640612Z,137.0,175F631D,39,2.0,97.0,Man (including Trans Male/Trans Man),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Health & Fitness, Science, Video Games",none just my native langauge,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
632cdaefc3426317f8f3213b,5e7a13eacc825504dfebed74,APPROVED,2022-09-22T22:00:19.843000Z,2022-09-22T22:03:58.614000Z,2022-10-13T00:00:36.736000Z,2022-09-22T22:03:59.030641Z,219.0,175F631D,663,4.0,99.0,Woman (including Trans Female/Trans Woman),English,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Art, Literature, Travelling",none just my native langauge,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdafba5282ec7026e3c02,6019af2fccedd613b582048e,APPROVED,2022-09-22T22:00:37.863000Z,2022-09-22T22:05:55.541000Z,2022-10-13T00:00:36.837000Z,2022-09-22T22:05:55.901293Z,318.0,175F631D,478,1.0,100.0,Man (including Trans Male/Trans Man),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Travelling, Health & Fitness, Science",none just my native langauge,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cdb02dd6712dd44be28d1,5b639ebd7584240001421064,APPROVED,2022-09-22T22:00:37.724000Z,2022-09-22T22:03:24.029000Z,2022-10-13T00:00:36.948000Z,2022-09-22T22:03:24.447644Z,167.0,175F631D,852,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Video Games, Science",none just my native langauge,25,Female,White,Canada,Canada,Canada,English,No,Part-Time,
632cdb06afc646bf749b7676,5ad115d47677430001c8fe5c,APPROVED,2022-09-22T22:00:41.752000Z,2022-09-22T22:04:13.361000Z,2022-10-13T00:00:37.054000Z,2022-09-22T22:04:13.679530Z,212.0,175F631D,664,4.0,100.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Music, Marketing, Travelling",none just my native langauge,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
632cdb0b3ec254626af92e8e,5fa5ce983a3f0d172e34ca53,APPROVED,2022-09-22T22:00:45.603000Z,2022-09-22T22:04:59.222000Z,2022-10-13T00:00:37.183000Z,2022-09-22T22:04:59.621851Z,254.0,175F631D,310,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Technical/community college,No,"No, I have no issues seeing colours","Art, Psychology, Literature",none just my native langauge,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
