Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6514973d01b3bfbc826ee860,5c62980ca135520001959a9a,APPROVED,2023-09-27T20:57:36.242000Z,2023-09-27T21:02:31.026000Z,2023-09-28T17:02:45.408000Z,2023-09-27T21:02:31.702186Z,295.0,CE2K9TTL,1378,English,none just my native langauge,High school diploma/A-levels,No,"No, I have no issues seeing colours","Music, Sports, Travelling",58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651497464b5eef880e1db347,5de21543762dc22548c937b3,APPROVED,2023-09-27T20:57:45.448000Z,2023-09-27T21:14:51.463000Z,2023-09-28T17:02:45.553000Z,2023-09-27T21:14:51.925777Z,1027.0,CE2K9TTL,930,"English, Bengali",native language + one other language,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours",Video Games,40,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6514975cc12e3c73b086e168,5c5a00f19dd64d00018adbbf,APPROVED,2023-09-27T20:58:07.015000Z,2023-09-27T21:02:50.765000Z,2023-09-28T17:02:45.688000Z,2023-09-27T21:02:51.290927Z,284.0,CE2K9TTL,384,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Literature, Sports, Music",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65149767828959ad4b907609,60f09743e03e0ef8f6f4842a,APPROVED,2023-09-27T20:58:20.081000Z,2023-09-27T21:06:00.603000Z,2023-09-28T17:02:45.829000Z,2023-09-27T21:06:01.128155Z,461.0,CE2K9TTL,388,English,none just my native langauge,High school diploma/A-levels,No,"No, I have no issues seeing colours","Music, Sports, Video Games",44,Male,White,Canada,Canada,Canada,English,No,Full-Time,
651497688ce72095ffbdbe1f,646578bf058dadcfa1e9b4f4,APPROVED,2023-09-27T20:58:27.687000Z,2023-09-27T21:03:52.749000Z,2023-09-28T17:02:45.985000Z,2023-09-27T21:03:53.279403Z,326.0,CE2K9TTL,133,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Politics, Science, Music",53,Male,White,United Kingdom,New Zealand,New Zealand,English,No,Full-Time,
6514976df9052455b945ebee,5c790035a4c1d00001f170c9,APPROVED,2023-09-27T20:58:31.249000Z,2023-09-27T21:06:01.880000Z,2023-09-28T17:02:46.545000Z,2023-09-27T21:06:07.095433Z,451.0,CE2K9TTL,421,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Video Games, Entrepreneurship, Science",37,Male,White,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED,
651497769b5b608f43d99d53,628a5105132f8916f4298b7a,APPROVED,2023-09-27T20:58:33.699000Z,2023-09-27T21:03:07.162000Z,2023-09-28T17:02:46.773000Z,2023-09-27T21:03:07.621440Z,274.0,CE2K9TTL,2,"Gujarati, English",native language + one other language,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Sports, Travelling, Health & Fitness",28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651497827936a9ca578253dc,60887cbf254deb7ab5095f77,APPROVED,2023-09-27T20:58:46.280000Z,2023-09-27T21:03:09.342000Z,2023-09-28T17:02:47.018000Z,2023-09-27T21:03:09.915998Z,264.0,CE2K9TTL,649,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Health & Fitness, Music, Sports",52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6514978d57468d3ab64e3f0f,63d4244ef7a44d268de65863,APPROVED,2023-09-27T20:58:58.419000Z,2023-09-27T21:04:06.502000Z,2023-09-28T17:02:47.175000Z,2023-09-27T21:04:07.408034Z,309.0,CE2K9TTL,197,English,none just my native langauge,Undergraduate degree (BA/BSc/other),Yes,"No, I have no issues seeing colours","Music, Science, Video Games",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6514978f0437df972eb15cbb,5c683cd8c643f400012ea0dc,APPROVED,2023-09-27T20:58:57.985000Z,2023-09-27T21:05:40.506000Z,2023-09-28T17:02:47.337000Z,2023-09-27T21:05:41.363631Z,403.0,CE2K9TTL,388,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Video Games, Science, Art",28,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking),
